,respcolor,stimcolor,trialnum,subject,stimword,reaction_time
0,Y,Y,1.0,156772.0,Y,1389.0
1,G,G,2.0,156772.0,G,2043.0
2,R,R,3.0,156772.0,R,1389.0
3,Y,Y,4.0,156772.0,Y,1092.0
4,G,G,5.0,156772.0,G,1310.0
5,R,R,6.0,156772.0,R,920.0
6,B,B,7.0,156772.0,B,1529.0
7,Y,Y,8.0,156772.0,Y,936.0
8,B,B,9.0,156772.0,B,1467.0
9,G,G,10.0,156772.0,G,1045.0
10,B,B,11.0,156772.0,B,1123.0
11,R,R,12.0,156772.0,R,1061.0
12,Y,Y,13.0,156772.0,Y,1029.0
13,R,R,14.0,156772.0,R,1732.0
14,Y,Y,15.0,156772.0,Y,1560.0
15,R,R,16.0,156772.0,R,1279.0
16,B,B,17.0,156772.0,B,1435.0
17,G,G,18.0,156772.0,G,952.0
18,B,B,19.0,156772.0,B,1326.0
19,G,G,20.0,156772.0,G,1185.0
20,R,R,21.0,156772.0,R,999.0
21,Y,Y,22.0,156772.0,Y,1029.0
22,G,G,23.0,156772.0,G,1170.0
23,Y,Y,24.0,156772.0,Y,968.0
24,G,G,25.0,156772.0,G,936.0
25,Y,Y,26.0,156772.0,Y,936.0
26,R,R,27.0,156772.0,R,1435.0
27,B,B,28.0,156772.0,B,951.0
28,G,G,29.0,156772.0,G,905.0
29,Y,Y,30.0,156772.0,Y,733.0
30,R,R,31.0,156772.0,R,843.0
31,Y,Y,32.0,156772.0,Y,905.0
32,B,B,33.0,156772.0,B,858.0
33,Y,Y,34.0,156772.0,Y,857.0
34,R,R,35.0,156772.0,R,1014.0
35,G,G,36.0,156772.0,G,1420.0
36,Y,Y,37.0,156772.0,Y,764.0
37,B,B,38.0,156772.0,B,718.0
38,R,R,39.0,156772.0,R,1404.0
39,G,G,40.0,156772.0,G,718.0
40,Y,Y,41.0,156772.0,Y,639.0
41,B,B,42.0,156772.0,B,702.0
42,Y,Y,43.0,156772.0,Y,718.0
43,R,R,44.0,156772.0,R,998.0
44,G,G,45.0,156772.0,G,1264.0
45,B,B,46.0,156772.0,Y,1264.0
46,R,R,47.0,156772.0,G,1357.0
47,Y,Y,48.0,156772.0,R,1732.0
48,B,B,49.0,156772.0,G,1762.0
49,Y,Y,50.0,156772.0,R,1576.0
50,G,G,51.0,156772.0,Y,1966.0
51,R,R,52.0,156772.0,B,1669.0
52,B,B,53.0,156772.0,Y,1669.0
53,R,R,54.0,156772.0,G,1685.0
54,G,G,55.0,156772.0,R,1450.0
55,B,B,56.0,156772.0,G,1404.0
56,Y,Y,57.0,156772.0,R,1420.0
57,R,R,58.0,156772.0,G,2387.0
58,G,G,59.0,156772.0,Y,1763.0
59,Y,Y,60.0,156772.0,B,1622.0
60,R,R,61.0,156772.0,G,1326.0
61,Y,G,62.0,156772.0,Y,1591.0
62,Y,Y,63.0,156772.0,B,1716.0
63,B,B,64.0,156772.0,G,1841.0
64,G,G,65.0,156772.0,Y,1669.0
65,R,R,66.0,156772.0,G,1466.0
66,G,G,67.0,156772.0,Y,1467.0
67,Y,Y,68.0,156772.0,B,1544.0
68,R,R,69.0,156772.0,G,1420.0
69,B,B,70.0,156772.0,Y,1435.0
70,Y,R,71.0,156772.0,G,1981.0
71,B,Y,72.0,156772.0,B,1576.0
72,R,R,73.0,156772.0,G,1840.0
73,G,G,74.0,156772.0,B,1358.0
74,B,B,75.0,156772.0,G,1653.0
75,Y,Y,76.0,156772.0,B,1420.0
76,G,G,77.0,156772.0,R,1544.0
77,B,B,78.0,156772.0,G,1560.0
78,G,G,79.0,156772.0,B,1311.0
79,B,B,80.0,156772.0,Y,1450.0
80,Y,Y,81.0,156772.0,G,1872.0
81,G,G,82.0,156772.0,Y,1857.0
82,R,R,83.0,156772.0,G,1872.0
83,B,B,84.0,156772.0,R,1216.0
84,G,G,85.0,156772.0,Y,1217.0
85,Y,Y,86.0,156772.0,R,1435.0
86,R,R,87.0,156772.0,G,1342.0
87,Y,Y,88.0,156772.0,B,1435.0
88,R,R,89.0,156772.0,G,1357.0
89,Y,Y,90.0,156772.0,B,1358.0
90,G,Y,1.0,156839.0,G,5770.0
91,G,G,2.0,156839.0,R,1848.0
92,R,R,3.0,156839.0,B,2176.0
93,G,B,4.0,156839.0,G,888.0
94,B,Y,5.0,156839.0,R,1176.0
95,B,R,6.0,156839.0,B,768.0
96,G,G,7.0,156839.0,R,368.0
97,B,B,8.0,156839.0,Y,672.0
98,G,G,9.0,156839.0,R,247.0
99,B,R,10.0,156839.0,Y,200.0
100,B,Y,11.0,156839.0,G,464.0
101,G,B,12.0,156839.0,R,151.0
102,B,Y,13.0,156839.0,G,192.0
103,G,G,14.0,156839.0,Y,184.0
104,B,Y,15.0,156839.0,R,175.0
105,G,B,16.0,156839.0,Y,184.0
106,B,Y,17.0,156839.0,R,184.0
107,G,G,18.0,156839.0,Y,135.0
108,B,B,19.0,156839.0,G,208.0
109,G,G,20.0,156839.0,B,128.0
110,B,R,21.0,156839.0,Y,200.0
111,G,Y,22.0,156839.0,B,119.0
112,B,R,23.0,156839.0,Y,200.0
113,G,Y,24.0,156839.0,B,144.0
114,B,B,25.0,156839.0,R,208.0
115,B,G,26.0,156839.0,Y,1240.0
116,G,Y,27.0,156839.0,R,264.0
117,B,G,28.0,156839.0,Y,192.0
118,G,B,29.0,156839.0,R,160.0
119,B,G,30.0,156839.0,B,208.0
120,G,B,31.0,156839.0,G,144.0
121,B,R,32.0,156839.0,Y,264.0
122,G,B,33.0,156839.0,R,176.0
123,B,R,34.0,156839.0,G,200.0
124,G,Y,35.0,156839.0,R,160.0
125,B,R,36.0,156839.0,G,200.0
126,G,G,37.0,156839.0,Y,144.0
127,B,Y,38.0,156839.0,B,200.0
128,G,G,39.0,156839.0,Y,151.0
129,B,Y,40.0,156839.0,R,192.0
130,G,R,41.0,156839.0,Y,168.0
131,B,B,42.0,156839.0,G,168.0
132,G,R,43.0,156839.0,B,184.0
133,B,B,44.0,156839.0,Y,248.0
134,G,G,45.0,156839.0,B,496.0
135,Y,Y,46.0,156839.0,Y,2150.0
136,G,G,47.0,156839.0,G,1920.0
137,G,Y,48.0,156839.0,Y,1984.0
138,B,B,49.0,156839.0,B,1136.0
139,Y,Y,50.0,156839.0,Y,792.0
140,G,R,51.0,156839.0,R,696.0
141,Y,Y,52.0,156839.0,Y,712.0
142,G,R,53.0,156839.0,R,1848.0
143,Y,Y,54.0,156839.0,Y,504.0
144,B,R,55.0,156839.0,R,128.0
145,G,G,56.0,156839.0,G,848.0
146,Y,Y,57.0,156839.0,Y,488.0
147,G,B,58.0,156839.0,B,472.0
148,Y,G,59.0,156839.0,G,544.0
149,G,Y,60.0,156839.0,Y,464.0
150,Y,G,61.0,156839.0,G,464.0
151,G,R,62.0,156839.0,R,448.0
152,G,G,63.0,156839.0,G,432.0
153,Y,R,64.0,156839.0,R,432.0
154,G,G,65.0,156839.0,G,472.0
155,Y,Y,66.0,156839.0,Y,464.0
156,G,B,67.0,156839.0,B,1128.0
157,G,Y,68.0,156839.0,Y,376.0
158,G,G,69.0,156839.0,G,456.0
159,G,R,70.0,156839.0,R,472.0
160,G,G,71.0,156839.0,G,560.0
161,Y,B,72.0,156839.0,B,904.0
162,G,Y,73.0,156839.0,Y,680.0
163,G,B,74.0,156839.0,B,1904.0
164,G,G,75.0,156839.0,G,600.0
165,G,Y,76.0,156839.0,Y,552.0
166,Y,B,77.0,156839.0,B,592.0
167,G,Y,78.0,156839.0,Y,592.0
168,Y,B,79.0,156839.0,B,536.0
169,G,Y,80.0,156839.0,Y,472.0
170,G,G,81.0,156839.0,G,840.0
171,Y,Y,82.0,156839.0,Y,624.0
172,G,B,83.0,156839.0,B,624.0
173,B,Y,84.0,156839.0,Y,424.0
174,B,R,85.0,156839.0,R,504.0
175,B,Y,86.0,156839.0,Y,504.0
176,B,R,87.0,156839.0,R,360.0
177,B,B,88.0,156839.0,B,224.0
178,G,Y,89.0,156839.0,Y,320.0
179,Y,B,90.0,156839.0,B,360.0
180,G,G,3.0,156880.0,Y,4992.0
181,Y,Y,4.0,156880.0,R,1904.0
182,R,R,5.0,156880.0,G,5320.0
183,Y,Y,6.0,156880.0,R,3432.0
